bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
BHARAT CO-OP BANK,1605,33.703,4854,215.506,May 2010
CALYON BANK,427,36.766,148,102.307,May 2010
CANARA BANK,93561,5976.260,212568,10826.580,May 2010
CATHOLIC SYRIAN BANK,8884,408.253,14411,569.274,May 2010
CENTRAL BANK OF INDIA,17827,805.452,58408,3312.849,May 2010
CHINATRUST COMMERCIAL BANK,41,1.559,16,7.330,May 2010
CITI BANK,964194,87056.090,291433,25785.454,May 2010
CITIZEN CREDIT CO-OP BANK,376,31.991,1545,69.016,May 2010
CITY UNION BANK,9232,284.344,19406,771.083,May 2010
CORP BANK,63017,2335.195,88826,4642.328,May 2010
COSMOS CO-OP BANK,1238,175.783,8746,518.540,May 2010
DENA BANK,11073,451.531,31573,1675.778,May 2010
DEUTSCHE BANK,261398,22488.608,76223,14511.320,May 2010
DEVELOPMENT BANK OF SINGAPORE,3471,300.653,391,125.276,May 2010
DEVELOPMENT CREDIT BANK,5822,173.107,10459,654.934,May 2010
DHANALAKSHMI BANK,7485,209.691,10988,401.115,May 2010
DICGC BANK,1,0.036,39,1.747,May 2010
DOMBIVLI NAGRIK SAHAKARI BANK,763,27.262,1688,49.052,May 2010
FEDERAL BANK,61938,2612.521,75728,2900.176,May 2010
GREATER BOMBAY CO-OP BANK,596,10.355,1793,52.906,May 2010
HDFC BANK,1258914,59941.428,1001889,70714.398,May 2010
HSBC BANK,363051,29932.880,128795,13333.731,May 2010
ICICI BANK,931576,25643.155,1067990,40741.376,May 2010
IDBI BANK,139664,8080.547,128898,9236.605,May 2010
INDIAN BANK,61939,2106.112,190465,5766.137,May 2010
INDIAN OVERSEAS BANK,72500,4702.718,132688,7225.804,May 2010
INDUSIND BANK,143492,6389.125,32678,1695.062,May 2010
ING VYSYA BANK,54196,1536.918,59640,3233.524,May 2010
JAMMU AND KASHMIR BANK,5619,230.577,10863,2686.254,May 2010
JANAKALYAN SAHAKARI BANK,421,23.938,1913,78.966,May 2010
JP MORGAN BANK,38592,5518.300,347,918.057,May 2010
KALUPUR COMM CO-OP BANK,528,24.967,975,44.920,May 2010
KALYAN JANATA SAHAKARI BANK,200,5.838,400,11.048,May 2010
KAPOLE BANK,46,1.780,345,17.916,May 2010
KARNATAKA BANK,20157,558.897,35226,1345.849,May 2010
KARNATAKA STATE CO-OP APEX BANK,14,0.178,27,4.621,May 2010
KARUR VYSYA BANK,12278,521.997,53110,1717.719,May 2010
KOTAK MAHINDRA BANK,121316,3141.348,86520,5055.042,May 2010
LAKSHMI VILAS BANK,34943,756.149,10196,394.708,May 2010
MAHANAGAR CO-OP BANK,256,10.913,492,18.900,May 2010
MAHARASHTRA STATE CO-OP BANK,162,6.327,1122,110.282,May 2010
MASHREQ BANK,509,217.651,21,2.070,May 2010
MIZUHO CORP BANK,712,22.204,41,5.142,May 2010
NAINITAL BANK,101,1.550,71,31.014,May 2010
NEW INDIA CO-OP BANK,393,8.187,1500,58.934,May 2010
NKGSB BANK,458,18.524,2581,144.284,May 2010
NUTAN NAGARIK SAHAKARI BANK,148,6.686,528,28.563,May 2010
OMAN INTERNATIONAL BANK,1145,100.908,114,12.763,May 2010
ORIENTAL BANK OF COMMERCE,40579,2063.917,83530,4909.619,May 2010
PARSIK JANATA SAHAKARI BANK,96,3.523,1122,40.605,May 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,594,16.092,3195,123.653,May 2010
PUNJAB AND SIND BANK,1239,65.917,6404,426.811,May 2010
PUNJAB NATIONAL BANK,91359,3424.843,268765,21601.151,May 2010
RATNAKAR BANK,342,15.508,977,51.667,May 2010
RBI PAD,9657,128197.509,432,126.117,May 2010
SARASWAT CO-OP BANK,2329,106.400,16394,1367.282,May 2010
SBBJ BANK,30188,1710.673,50552,2096.174,May 2010
SHAMRAO VITHAL CO-OP BANK,2316,115.592,5606,593.077,May 2010
SHINHAN BANK,1481,124.372,129,81.031,May 2010
SOCIETE GENERALE,86,3.723,26,42.970,May 2010
SOUTH INDIAN BANK,23818,1029.329,38582,1455.028,May 2010
STANDARD CHARTERED BANK,496711,35600.448,136503,21177.823,May 2010
STATE BANK OF HYDERABAD,77872,3125.894,98319,4019.114,May 2010
STATE BANK OF INDIA,713014,33673.986,1288835,162165.406,May 2010
STATE BANK OF INDORE,15365,657.521,30032,1444.330,May 2010
STATE BANK OF MAURITIUS,91,3.588,98,25.707,May 2010
STATE BANK OF MYSORE,29196,1226.565,57257,2538.357,May 2010
STATE BANK OF PATIALA,18096,818.765,37475,1845.911,May 2010
STATE BANK OF TRAVANCORE,110071,6368.728,110948,3800.266,May 2010
SYNDICATE BANK,43535,1947.366,131540,5947.444,May 2010
TAMIL NADU STATE APEX CO-OP BANK,261,4.531,437,11.785,May 2010
TAMILNADU MERCANTILE BANK,6513,257.843,23013,923.160,May 2010
THANE JANATA SAHAKARI BANK,1038,44.363,4668,372.814,May 2010
ROYAL BANK OF SCOTLAND N.V,119965,7653.253,81290,5953.218,May 2010
UCO BANK,15454,768.796,35759,1846.313,May 2010
UNION BANK OF INDIA,74365,2427.422,188590,10785.410,May 2010
UNITED BANK OF INDIA,14784,610.839,29241,1280.705,May 2010
VIJAYA BANK,28391,1012.875,62730,2646.390,May 2010
YES BANK,199117,5887.822,14258,1321.389,May 2010
ABHYUDAYA CO-OP BANK,3173,590.146,6935,231.979,June 2010
ABU DHABI COMMERCIAL BANK,526,50.863,218,26.648,June 2010
AHMEDABAD MERCANTILE CO-OP BANK,302,13.248,632,20.423,June 2010
ALLAHABAD BANK,17440,805.102,38174,6412.327,June 2010
ANDHRA BANK,44912,2668.722,111224,5048.767,June 2010
AXIS BANK,485682,20063.387,513325,24556.154,June 2010
BANK N PARIBAS,28499,1610.601,17932,5529.587,June 2010
BANK OF AMERICA,85292,7240.168,6524,3044.163,June 2010
BANK OF BAHARIEN AND KUWAIT,34251,1026.035,892,26.900,June 2010
BANK OF BARODA,88021,3488.046,206976,9995.917,June 2010
BANK OF CEYLON,324,230.708,54,4.138,June 2010
BANK OF INDIA,71720,2502.380,212379,9990.889,June 2010
BANK OF MAHARASHTRA,18720,949.534,59884,3016.060,June 2010
BANK OF NOVA SCOTIA,1487,60.340,373,95.478,June 2010
BANK OF RAJASTHAN,7145,314.583,16363,758.544,June 2010
BANK OF TOKYO AND MITSUBISHI,854,46.146,391,330.526,June 2010
BARCLAYS BANK,3662,327.214,4687,628.997,June 2010
BHARAT CO-OP BANK,1541,33.095,5329,263.267,June 2010
CREDIT AGRICOLE CORP AND INVESTMENT BANK,561,48.174,184,115.041,June 2010
CANARA BANK,92872,13066.798,231200,13554.194,June 2010
CATHOLIC SYRIAN BANK,9386,364.082,14959,553.414,June 2010
CENTRAL BANK OF INDIA,20695,2221.913,66947,3429.629,June 2010
CHINATRUST COMMERCIAL BANK,51,2.350,21,8.159,June 2010
CITI BANK,993367,82570.999,305476,26817.350,June 2010
CITIZEN CREDIT CO-OP BANK,419,21.771,1610,79.225,June 2010
CITY UNION BANK,11714,328.581,23319,975.135,June 2010
CORP BANK,67700,1906.005,100607,5083.294,June 2010
COSMOS CO-OP BANK,1362,202.273,10100,543.807,June 2010
DENA BANK,12061,477.699,36217,2067.433,June 2010
DEUTSCHE BANK,283724,22901.475,85108,24018.596,June 2010
DEVELOPMENT BANK OF SINGAPORE,3333,842.426,417,179.738,June 2010
DEVELOPMENT CREDIT BANK,7178,187.490,11537,631.624,June 2010
DHANALAKSHMI BANK,8123,227.484,11695,382.452,June 2010
DICGC BANK,1,0.033,8,0.349,June 2010
DOMBIVLI NAGRIK SAHAKARI BANK,975,31.885,1718,50.620,June 2010
FEDERAL BANK,63490,2467.768,79057,2948.279,June 2010
GREATER BOMBAY CO-OP BANK,585,13.393,2010,62.757,June 2010
HDFC BANK,1273306,73252.251,1113794,83700.827,June 2010
HSBC BANK,408743,33294.149,138197,14436.812,June 2010
ICICI BANK,967972,27028.724,1142663,42217.773,June 2010
IDBI BANK,157766,8570.552,142300,13439.264,June 2010
INDIAN BANK,72792,2800.698,201443,5965.268,June 2010
INDIAN OVERSEAS BANK,80462,7968.463,145388,7550.730,June 2010
INDUSIND BANK,145926,5495.044,36785,2275.857,June 2010
ING VYSYA BANK,51363,4785.651,63367,3202.106,June 2010
JAMMU AND KASHMIR BANK,5800,319.034,11542,622.052,June 2010
JANAKALYAN SAHAKARI BANK,456,41.714,2087,99.135,June 2010
JP MORGAN BANK,109657,8836.668,521,275.617,June 2010
KALUPUR COMM CO-OP BANK,636,30.409,1119,58.470,June 2010
KALYAN JANATA SAHAKARI BANK,197,5.351,451,15.323,June 2010
KAPOLE BANK,57,2.413,362,19.421,June 2010
KARNATAKA BANK,24970,626.280,42376,1448.940,June 2010
KARNATAKA STATE CO-OP APEX BANK,28,0.550,34,1.417,June 2010
KARUR VYSYA BANK,14918,566.895,59860,1779.166,June 2010
KOTAK MAHINDRA BANK,139639,3917.680,92570,6401.486,June 2010
LAKSHMI VILAS BANK,39785,798.321,12302,446.013,June 2010
MAHANAGAR CO-OP BANK,406,18.228,565,28.576,June 2010
MAHARASHTRA STATE CO-OP BANK,195,6.364,1198,43.644,June 2010
MASHREQ BANK,561,217.605,28,1.627,June 2010
MIZUHO CORP BANK,733,23.072,43,7.139,June 2010
NAINITAL BANK,470,15.993,201,47.761,June 2010
NEW INDIA CO-OP BANK,253,7.095,1597,64.923,June 2010
NKGSB BANK,432,14.861,2773,128.480,June 2010
NUTAN NAGARIK SAHAKARI BANK,172,7.124,694,31.123,June 2010
OMAN INTERNATIONAL BANK,1226,107.209,113,21.570,June 2010
ORIENTAL BANK OF COMMERCE,44740,2049.191,93146,6127.039,June 2010
PARSIK JANATA SAHAKARI BANK,196,9.384,1170,49.908,June 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,670,16.676,3445,124.911,June 2010
PUNJAB AND SIND BANK,1284,73.159,6880,462.088,June 2010
PUNJAB NATIONAL BANK,93643,11186.321,303282,18486.184,June 2010
RATNAKAR BANK,381,16.825,1054,56.944,June 2010
RBI PAD,10694,35328.449,292,92.576,June 2010
SARASWAT CO-OP BANK,2588,146.590,18208,1531.295,June 2010
SBBJ BANK,30067,1350.079,53678,1907.988,June 2010
SHAMRAO VITHAL CO-OP BANK,2599,129.301,7061,627.553,June 2010
SHINHAN BANK,1768,146.010,160,113.416,June 2010
SOCIETE GENERALE,111,7.991,48,18.408,June 2010
SOUTH INDIAN BANK,24824,997.264,41338,1531.044,June 2010
STANDARD CHARTERED BANK,571263,41290.499,147431,30976.230,June 2010
STATE BANK OF HYDERABAD,89907,3708.134,100701,3993.352,June 2010
STATE BANK OF INDIA,860153,37744.396,1364766,80616.155,June 2010
STATE BANK OF INDORE,15727,856.448,33374,1670.745,June 2010
STATE BANK OF MAURITIUS,88,3.372,104,24.682,June 2010
STATE BANK OF MYSORE,31201,1061.192,64332,2546.849,June 2010
STATE BANK OF PATIALA,19086,857.298,40066,2102.266,June 2010
STATE BANK OF TRAVANCORE,111221,4965.946,113168,4165.556,June 2010
SYNDICATE BANK,45939,1964.413,144183,5802.325,June 2010
TAMIL NADU STATE APEX CO-OP BANK,273,5.065,578,11.391,June 2010
TAMILNADU MERCANTILE BANK,7152,275.932,25810,972.841,June 2010
THANE JANATA SAHAKARI BANK,1314,41.623,5260,352.895,June 2010
ROYAL BANK OF SCOTLAND N.V,116869,19368.510,87901,6290.768,June 2010
UCO BANK,19463,889.115,40696,1836.439,June 2010
UNION BANK OF INDIA,75923,2685.620,204567,9486.522,June 2010
UNITED BANK OF INDIA,17074,1608.814,32744,1873.076,June 2010
VIJAYA BANK,27188,1184.010,70090,3468.976,June 2010
YES BANK,226846,5843.201,15933,1339.339,June 2010
ABHYUDAYA CO-OP BANK,3046,121.011,8131,269.301,July 2010
ABU DHABI COMMERCIAL BANK,513,36.077,266,35.937,July 2010
AHMEDABAD MERCANTILE CO-OP BANK,344,14.606,865,32.548,July 2010
ALLAHABAD BANK,18461,845.986,46798,3108.380,July 2010
ANDHRA BANK,55850,2593.930,257548,5870.910,July 2010
AXIS BANK,570916,21896.670,574761,39165.069,July 2010
BANK N PARIBAS,29550,1922.306,16077,4888.140,July 2010
BANK OF AMERICA,88784,8584.954,6707,3362.140,July 2010
BANK OF BAHARIEN AND KUWAIT,33270,1126.113,692,34.503,July 2010
BANK OF BARODA,86362,3344.752,237330,11145.484,July 2010
BANK OF CEYLON,275,140.114,65,11.382,July 2010
BANK OF INDIA,78489,2857.792,244159,10889.416,July 2010
BANK OF MAHARASHTRA,21617,1230.652,68808,2802.262,July 2010
BANK OF NOVA SCOTIA,1724,77.725,420,118.696,July 2010
BANK OF RAJASTHAN,7773,354.519,19333,765.455,July 2010
BANK OF TOKYO AND MITSUBISHI,1057,56.043,485,422.747,July 2010
BARCLAYS BANK,3545,280.686,4774,2289.133,July 2010
BASSEIN CATHOLIC CO-OP BANK,72,4.314,112,4.609,July 2010
BHARAT CO-OP BANK,2272,39.075,5927,244.557,July 2010
CANARA BANK,116452,13509.315,261270,17398.419,July 2010
CATHOLIC SYRIAN BANK,9625,432.361,16202,651.291,July 2010
CENTRAL BANK OF INDIA,23609,1042.104,76870,3986.321,July 2010
CHINATRUST COMMERCIAL BANK,18,9.636,28,7.258,July 2010
CITI BANK,1097946,88830.031,323673,28509.116,July 2010
CITIZEN CREDIT CO-OP BANK,449,20.367,1953,112.837,July 2010
CITY UNION BANK,12532,352.757,22485,971.746,July 2010
CORP BANK,66397,2165.020,111236,6808.425,July 2010
COSMOS CO-OP BANK,1622,206.362,11071,639.853,July 2010
CREDIT AGRICOLE CORP AND INVESTMENT BANK,636,41.525,216,208.194,July 2010
DENA BANK,13206,2113.612,41220,2456.959,July 2010
DEUTSCHE BANK,311615,29900.036,89709,15589.635,July 2010
DEVELOPMENT BANK OF SINGAPORE,5047,365.832,602,406.559,July 2010
DEVELOPMENT CREDIT BANK,6750,329.627,12383,647.342,July 2010
DHANALAKSHMI BANK,7832,210.383,12865,438.652,July 2010
DICGC BANK,7,0.173,1,0.003,July 2010
DOMBIVLI NAGRIK SAHAKARI BANK,911,29.329,2024,53.211,July 2010
FEDERAL BANK,69353,2746.784,86361,3337.122,July 2010
GREATER BOMBAY CO-OP BANK,553,12.404,1842,53.150,July 2010
HDFC BANK,1508910,93409.609,1200856,89115.286,July 2010
HSBC BANK,420288,35078.078,147508,18104.512,July 2010
ICICI BANK,1072932,30970.820,1240473,43906.663,July 2010
IDBI BANK,155999,10513.349,151226,16092.180,July 2010
INDIAN BANK,73827,2133.277,238184,8202.004,July 2010
INDIAN OVERSEAS BANK,88534,7456.070,160516,7602.072,July 2010
INDUSIND BANK,148648,6987.420,39305,2046.272,July 2010
ING VYSYA BANK,59930,2020.281,69849,3784.376,July 2010
JAMMU AND KASHMIR BANK,5997,3891.954,11550,607.646,July 2010
JANAKALYAN SAHAKARI BANK,599,75.814,2511,105.106,July 2010
JP MORGAN BANK,118119,10015.660,653,347.341,July 2010
KALUPUR COMM CO-OP BANK,651,28.197,1582,89.987,July 2010
KALYAN JANATA SAHAKARI BANK,221,6.109,619,25.047,July 2010
KAPOLE BANK,162,2.172,452,29.434,July 2010
KARNATAKA BANK,23305,651.363,44306,1687.542,July 2010
KARNATAKA STATE CO-OP APEX BANK,36,1.001,44,7.098,July 2010
KARUR VYSYA BANK,15657,686.804,63780,2705.639,July 2010
KOTAK MAHINDRA BANK,144636,7314.169,103133,6229.893,July 2010
LAKSHMI VILAS BANK,35006,855.243,13108,474.173,July 2010
MAHANAGAR CO-OP BANK,348,14.727,625,24.499,July 2010
MAHARASHTRA STATE CO-OP BANK,237,8.372,1398,64.892,July 2010
MASHREQ BANK,521,160.923,22,2.737,July 2010
MEHSANA URBAN CO-OP BANK,91,4.285,26,4.160,July 2010
MIZUHO CORP BANK,856,27.259,36,7.289,July 2010
NAINITAL BANK,643,21.831,309,31.627,July 2010
NEW INDIA CO-OP BANK,1020,15.795,1820,87.081,July 2010
NKGSB BANK,438,16.373,3185,174.787,July 2010
NUTAN NAGARIK SAHAKARI BANK,182,7.190,1230,76.509,July 2010
OMAN INTERNATIONAL BANK,1113,83.206,106,15.635,July 2010
ORIENTAL BANK OF COMMERCE,49108,1517.393,107372,5035.113,July 2010
PARSIK JANATA SAHAKARI BANK,238,11.513,1693,50.902,July 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,681,15.707,3957,132.853,July 2010
PUNJAB AND SIND BANK,1322,65.758,8733,556.821,July 2010
PUNJAB NATIONAL BANK,106552,4846.886,323063,21302.696,July 2010
RATNAKAR BANK,428,18.930,1219,68.603,July 2010
RBI PAD,14170,132086.856,293,45.576,July 2010
SARASWAT CO-OP BANK,3071,318.399,20244,1666.862,July 2010
SBBJ BANK,32286,1368.500,63383,2215.428,July 2010
SHAMRAO VITHAL CO-OP BANK,2727,151.478,7691,592.771,July 2010
SHINHAN BANK,2058,231.608,208,139.612,July 2010
SOCIETE GENERALE,101,37.027,56,107.302,July 2010
SOUTH INDIAN BANK,26562,1227.744,45197,1684.344,July 2010
STANDARD CHARTERED BANK,592112,41642.482,159334,32178.953,July 2010
STATE BANK OF HYDERABAD,161042,4036.287,136854,6707.486,July 2010
STATE BANK OF INDIA,1083449,45670.599,1523930,177628.564,July 2010
STATE BANK OF INDORE,18038,706.324,42020,1611.441,July 2010
STATE BANK OF MAURITIUS,74,2.668,102,26.117,July 2010
STATE BANK OF MYSORE,31644,2520.801,70138,2549.487,July 2010
STATE BANK OF PATIALA,19978,939.988,46196,2797.566,July 2010
STATE BANK OF TRAVANCORE,118059,5862.744,123153,4337.503,July 2010
SURAT PEOPLES CO-OP BANK,90,3.704,35,1.937,July 2010
SYNDICATE BANK,50269,2677.197,180371,12169.966,July 2010
TAMIL NADU STATE APEX CO-OP BANK,240,8.943,572,13.981,July 2010
TAMILNADU MERCANTILE BANK,8153,308.715,28666,1076.090,July 2010
THANE JANATA SAHAKARI BANK,2067,52.717,6090,369.968,July 2010
ROYAL BANK OF SCOTLAND N.V,127233,11074.539,90234,6231.349,July 2010
UCO BANK,22807,1026.981,47664,2052.093,July 2010
UNION BANK OF INDIA,95546,3198.697,227185,10579.874,July 2010
UNITED BANK OF INDIA,18984,797.003,39685,1612.453,July 2010
VIJAYA BANK,26822,878.778,77282,3053.772,July 2010
YES BANK,219732,6907.463,16728,2531.031,July 2010
ABHYUDAYA CO-OP BANK,3385,132.877,8916,268.769,August 2010
ABU DHABI COMMERCIAL BANK,535,38.467,222,44.937,August 2010
AHMEDABAD MERCANTILE CO-OP BANK,252,10.158,792,23.318,August 2010
ALLAHABAD BANK,20207,806.355,48055,2007.798,August 2010
ANDHRA BANK,50618,5992.687,222086,6742.173,August 2010
AXIS BANK,577456,21004.001,585748,27503.793,August 2010
BANK N PARIBAS,34083,2727.832,16380,5715.411,August 2010
BANK OF AMERICA,76801,7669.423,6457,3883.835,August 2010
BANK OF BAHARIEN AND KUWAIT,33865,1001.465,750,67.654,August 2010
BANK OF BARODA,95850,3151.427,244015,11158.920,August 2010
BANK OF CEYLON,211,3.630,55,1.525,August 2010
BANK OF INDIA,85277,2680.664,253249,12230.108,August 2010
BANK OF MAHARASHTRA,23569,1192.964,72143,4116.726,August 2010
BANK OF NOVA SCOTIA,1581,67.475,383,180.480,August 2010
BANK OF RAJASTHAN,7292,312.518,19343,1001.126,August 2010
BANK OF TOKYO AND MITSUBISHI,987,112.714,487,612.481,August 2010
BARCLAYS BANK,3438,139.956,4911,165.228,August 2010
BASSEIN CATHOLIC CO-OP BANK,196,18.242,266,9.522,August 2010
BHARAT CO-OP BANK,2099,41.970,6119,368.599,August 2010
CANARA BANK,137566,11530.231,279782,14902.120,August 2010
CATHOLIC SYRIAN BANK,10891,469.768,17700,776.521,August 2010
CENTRAL BANK OF INDIA,27575,1307.983,83667,4279.695,August 2010
CHINATRUST COMMERCIAL BANK,18,0.945,13,10.921,August 2010
CITI BANK,1119740,94937.548,330523,42253.997,August 2010
CITIZEN CREDIT CO-OP BANK,454,16.859,1792,99.962,August 2010
CITY UNION BANK,13805,384.345,23651,897.222,August 2010
CORP BANK,74539,2077.454,115718,5992.794,August 2010
COSMOS CO-OP BANK,1747,211.981,11847,664.823,August 2010
CREDIT AGRICOLE CORP AND INVESTMENT BANK,634,173.163,206,391.008,August 2010
DENA BANK,13992,530.711,43341,3020.313,August 2010
DEUTSCHE BANK,300041,26700.105,95249,17492.709,August 2010
DEVELOPMENT BANK OF SINGAPORE,5237,1570.762,564,342.059,August 2010
DEVELOPMENT CREDIT BANK,7564,265.245,13184,656.543,August 2010
DHANALAKSHMI BANK,9516,251.910,14022,1075.815,August 2010
DICGC BANK,2,0.101,5,0.114,August 2010
DOMBIVLI NAGRIK SAHAKARI BANK,904,28.072,1934,45.669,August 2010
FEDERAL BANK,74862,2773.173,90545,3764.565,August 2010
GREATER BOMBAY CO-OP BANK,521,11.558,2024,72.685,August 2010
HDFC BANK,1479374,83860.744,1220106,83081.862,August 2010
HSBC BANK,427154,37850.203,148830,12930.658,August 2010
ICICI BANK,1090075,30745.586,1264137,45683.673,August 2010
IDBI BANK,162833,12910.721,154537,14579.035,August 2010
INDIAN BANK,81376,2232.780,260782,7228.321,August 2010
INDIAN OVERSEAS BANK,89702,8807.248,172138,9548.193,August 2010
INDUSIND BANK,151183,7225.372,39001,2279.901,August 2010
ING VYSYA BANK,61375,3245.884,72236,4650.531,August 2010
JAMMU AND KASHMIR BANK,5882,219.840,11802,648.163,August 2010
JANAKALYAN SAHAKARI BANK,759,229.750,2548,105.489,August 2010
JP MORGAN BANK,107561,11571.723,474,327.199,August 2010
KALUPUR COMM CO-OP BANK,564,54.546,1727,70.507,August 2010
KALYAN JANATA SAHAKARI BANK,236,5.868,648,23.148,August 2010
KAPOLE BANK,56,2.635,491,27.301,August 2010
KARNATAKA BANK,25160,680.044,47282,1724.693,August 2010
KARNATAKA STATE CO-OP APEX BANK,51,1.654,58,1.606,August 2010
KARUR VYSYA BANK,19319,802.375,67301,2135.816,August 2010
KOTAK MAHINDRA BANK,158742,4778.516,109234,6793.059,August 2010
LAKSHMI VILAS BANK,37228,739.798,14087,550.400,August 2010
MAHANAGAR CO-OP BANK,311,12.022,710,29.954,August 2010
MAHARASHTRA STATE CO-OP BANK,267,8.073,1511,78.236,August 2010
MASHREQ BANK,583,273.949,39,13.556,August 2010
MEHSANA URBAN CO-OP BANK,247,12.545,111,4.673,August 2010
MIZUHO CORP BANK,848,40.721,50,8.653,August 2010
NAINITAL BANK,922,37.261,414,64.774,August 2010
NEW INDIA CO-OP BANK,515,69.952,1881,86.853,August 2010
NKGSB BANK,560,19.072,3099,160.519,August 2010
NUTAN NAGARIK SAHAKARI BANK,174,17.404,848,38.081,August 2010
OMAN INTERNATIONAL BANK,1256,88.599,97,6.749,August 2010
ORIENTAL BANK OF COMMERCE,41228,1433.165,111207,5623.622,August 2010
PARSIK JANATA SAHAKARI BANK,293,13.026,2040,63.332,August 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,842,30.907,4233,148.287,August 2010
PUNJAB AND SIND BANK,1522,76.595,8334,564.861,August 2010
PUNJAB NATIONAL BANK,116053,4549.617,348845,19528.631,August 2010
RATNAKAR BANK,516,24.596,1243,80.742,August 2010
RBI PAD,12912,78863.559,312,41.193,August 2010
SARASWAT CO-OP BANK,3226,234.770,20889,1709.845,August 2010
SBBJ BANK,33475,1398.169,65609,2245.534,August 2010
SHAMRAO VITHAL CO-OP BANK,3134,172.491,7974,583.260,August 2010
SHINHAN BANK,2135,169.981,183,131.920,August 2010
SOCIETE GENERALE,103,4.740,36,9.582,August 2010
SOUTH INDIAN BANK,28568,1070.367,50194,1717.221,August 2010
STANDARD CHARTERED BANK,617480,46188.581,162305,28986.219,August 2010
STATE BANK OF HYDERABAD,173404,4516.924,152137,4720.560,August 2010
STATE BANK OF INDIA,1200598,46323.419,1607315,132079.601,August 2010
STATE BANK OF INDORE,24166,816.529,42610,1731.437,August 2010
STATE BANK OF MAURITIUS,86,23.542,103,49.051,August 2010
STATE BANK OF MYSORE,36467,1145.800,71748,3276.149,August 2010
STATE BANK OF PATIALA,21278,1003.783,47957,2157.458,August 2010
STATE BANK OF TRAVANCORE,124803,5052.049,129222,4134.395,August 2010
SURAT PEOPLES CO-OP BANK,161,11.166,170,16.041,August 2010
SYNDICATE BANK,52855,2427.572,196904,8863.462,August 2010
TAMIL NADU STATE APEX CO-OP BANK,280,7.449,628,17.850,August 2010
TAMILNADU MERCANTILE BANK,9654,351.615,29696,1015.389,August 2010
THANE JANATA SAHAKARI BANK,1597,90.152,6442,410.782,August 2010
ROYAL BANK OF SCOTLAND N.V,131346,10480.570,89568,8604.105,August 2010
UCO BANK,24876,1128.221,50978,2219.189,August 2010
UNION BANK OF INDIA,116275,3840.348,239181,11302.286,August 2010
UNITED BANK OF INDIA,21913,860.170,42480,1992.186,August 2010
VIJAYA BANK,54582,1030.964,82972,3525.202,August 2010
YES BANK,226364,6185.892,17977,3145.424,August 2010
ABHYUDAYA CO-OP BANK,3265,133.394,8893,256.914,September 2010
ABU DHABI COMMERCIAL BANK,311,32.638,239,21.835,September 2010
AHMEDABAD MERCANTILE CO-OP BANK,296,12.777,1151,32.267,September 2010
ALLAHABAD BANK,20261,808.980,49752,2929.412,September 2010
ANDHRA BANK,49941,2730.912,160508,6241.994,September 2010
AXIS BANK,578714,36430.594,605952,29606.509,September 2010
BANK N PARIBAS,27546,2894.003,16492,5057.671,September 2010
BANK OF AMERICA,77521,9713.040,6080,3824.204,September 2010
BANK OF BAHARIEN AND KUWAIT,30085,950.973,660,43.425,September 2010
BANK OF BARODA,96344,3243.508,256715,11020.579,September 2010
BANK OF CEYLON,258,3.849,58,2.996,September 2010
BANK OF INDIA,69093,2144.541,271932,13417.835,September 2010
BANK OF MAHARASHTRA,23674,968.587,80006,3531.324,September 2010
BANK OF NOVA SCOTIA,1534,59.716,404,476.218,September 2010
BANK OF RAJASTHAN,7654,319.542,23694,917.907,September 2010
BANK OF TOKYO AND MITSUBISHI,1058,47.818,557,244.884,September 2010
BARCLAYS BANK,3557,488.415,4597,301.986,September 2010
BASSEIN CATHOLIC CO-OP BANK,197,18.158,348,11.692,September 2010
BHARAT CO-OP BANK,2182,38.735,5945,247.906,September 2010
CANARA BANK,152863,13567.926,281489,15720.533,September 2010
CATHOLIC SYRIAN BANK,10047,363.137,16216,565.436,September 2010
CENTRAL BANK OF INDIA,28943,1077.961,90063,4365.838,September 2010
CHINATRUST COMMERCIAL BANK,22,0.948,16,4.149,September 2010
CITI BANK,1105090,110889.432,327223,39827.383,September 2010
CITIZEN CREDIT CO-OP BANK,461,23.117,2102,94.852,September 2010
CITY UNION BANK,14055,474.415,24855,878.163,September 2010
CORP BANK,74264,2108.140,113087,5516.555,September 2010
COSMOS CO-OP BANK,1874,744.239,13858,959.005,September 2010
CREDIT AGRICOLE CORP AND INVESTMENT BANK,698,60.343,201,148.322,September 2010
DENA BANK,14166,530.265,45929,2615.711,September 2010
DEUTSCHE BANK,293590,23175.213,93566,40295.191,September 2010
DEVELOPMENT BANK OF SINGAPORE,4751,2045.545,564,382.328,September 2010
DEVELOPMENT CREDIT BANK,7534,246.576,13810,703.931,September 2010
DHANALAKSHMI BANK,8246,216.840,14261,507.970,September 2010
DICGC BANK,3,0.466,0,0.000,September 2010
DOMBIVLI NAGRIK SAHAKARI BANK,990,29.287,2250,48.216,September 2010
FEDERAL BANK,69642,2554.851,86091,3072.035,September 2010
GREATER BOMBAY CO-OP BANK,570,13.865,2468,71.478,September 2010
HDFC BANK,1516671,97143.123,1218083,96061.513,September 2010
HSBC BANK,418587,34902.699,156309,15316.948,September 2010
ICICI BANK,1078823,28565.550,1277460,49775.995,September 2010
